text,label
New study shows that nature exposure reduces cortisol levels and lowers stress,1
New report shows that foreign direct investment in developing nations increased this year,1
City introduces new incentive program to encourage residents to install solar panels,1
Leaked NASA footage shows clear evidence of structures built on the surface of the moon,0
Researchers find that small business loans to women entrepreneurs have highest repayment rates,1
New evidence proves that every major election in history was predetermined by elite,0
Illuminati symbol found on currency proves secret society controls banking system,0
Government launches initiative to bring high-speed internet to all rural areas by 2030,1
Researchers develop new treatment that reduces migraine frequency by fifty percent,1
Shocking truth about diet soda it causes more weight gain than regular soda always,0
Government announces new scholarship program to fund students in science and technology,1
Scientists develop new water purification method using sunlight and natural minerals,1
Scientists develop new imaging technology that detects tumors at an earlier stage,1
New law will ban all pets from homes starting next month government says,0
Man cures terminal cancer with baking soda and lemon juice doctors are furious,0
New study shows that walking ten thousand steps daily improves cardiovascular health,1
Shocking truth about toothpaste it contains chemicals that cause memory loss,0
New study proves that sleeping is bad for human health,0
Bombshell new study reveals that smartphones emit radiation that causes brain tumors,0
Shocking truth about electric cars their batteries emit radiation that causes cancer,0
You won't believe what they found inside a vaccine bottle hidden ingredient,0
Antarctica is actually a giant ice wall keeping us inside a flat earth dome,0
Scientists find that certain fish species are recovering after years of overfishing,1
Whistleblower exposes global pedophile ring operating inside major world governments,0
Whistleblower reveals that all elections worldwide have been rigged for fifty years,0
Shocking truth about chocolate it contains addictive substance stronger than cocaine,0
Scientists find that drinking cold water immediately after eating causes stomach cancer,0
Scientists develop new material that can absorb oil spills quickly and efficiently,1
New report shows global renewable energy capacity doubled in the past five years,1
Scientists find that probiotics help reduce symptoms of irritable bowel syndrome,1
Shocking truth about bottled water it contains chemicals that cause infertility,0
Researchers develop gene therapy that shows promise for treating inherited blindness,1
Ancient pyramid found on Mars proves humans lived there in the past,0
Scientists paid millions to suppress study proving prayer cures all known diseases,0
Shocking revelation hospitals add addictive substances to medications to keep patients coming back,0
Scientists develop new cancer immunotherapy approach with promising early trial results,1
Researchers find that affordable housing policies reduce homelessness rates effectively,1
Explosive revelation banks have been creating money from nothing for over one hundred years,0
Scientists discover that human eyes emit radiation that can be used to track people,0
Scientists prove that dinosaurs actually lived alongside humans just three thousand years ago,0
New study shows that community policing strategies reduce crime more effectively,1
New research proves that vegetables grown in soil contain mind-altering chemicals,0
Scientists prove that dinosaur bones were planted by the government to push evolution hoax,0
Scientists develop pill that makes you permanently happy with no side effects,0
Scientists develop new water purification method using sunlight and natural minerals,1
Researchers develop new noninvasive method to monitor blood glucose levels daily,1
New study reveals that sitting for more than one hour causes permanent organ damage,0
New legislation introduced to increase transparency in political campaign financing,1
Scientists confirm that air quality regulations have significantly reduced pollution,1
City launches new apprenticeship program connecting young adults to skilled trades,1
Secret treaty signed by world leaders to hand over sovereignty to alien race,0
New evidence shows crop circles are alien messages warning about government plans,0
Government launches program providing free job training for displaced factory workers,1
Doctors hide the fact that aspirin causes more deaths than it prevents every year,0
Government releases new guidelines for food safety and restaurant inspections,1
Scientists confirm that eating meat causes humans to become aggressive and violent,0
Eating chocolate every day makes you lose 50 pounds in one month,0
New study shows that telehealth services have expanded access to medical care significantly,1
Scientists announce discovery of water ice deposits on the surface of Mercury,1
Shocking truth all national borders are fake and secretly controlled by one organization,0
Scientists confirm that genetically modified foods cause cancer in third generation,0
New study proves that video games cause violent behavior in one hundred percent of players,0
Shocking new discovery ancient humans were one hundred feet tall before government shrunk them,0
Major city plans to put mind control drug in drinking water next year,0
Researchers discover that ocean acidification is affecting shellfish reproduction rates,1
New study links access to clean drinking water with improved childhood health outcomes,1
Scientists confirm evolution is a hoax invented to control the population masses,0
Researchers find evidence that pollinator populations are recovering in protected areas,1
Shocking new proof that celebrity deaths are faked and they live in secret community,0
Scientists discover that drinking bleach cures all diseases instantly,0
This simple trick cures diabetes in seventy two hours doctors absolutely hate this,0
Scientists prove that area fifty one contains live aliens working with US government,0
New study proves that autism is directly caused by childhood vaccines shocking truth,0
Breaking news government using smart meters to spy on citizens in their own homes daily,0
Researchers discover that ancient climate data preserved in cave formations worldwide,1
Breaking exclusive secret society using weather control to cause droughts in poor countries,0
Government admits moon landing was filmed in Hollywood studio,0
Scientists observe that Antarctic ice sheet is losing mass at an increasing rate,1
Scientists find that reintroducing wolves to ecosystem restored natural balance,1
This doctor cured one thousand cancer patients with baking soda he was immediately jailed,0
Shocking truth discovered ancient civilization existed underground with advanced technology,0
Scientists prove that psychic powers are real and suppressed by governments globally,0
Researchers find that employee ownership models increase worker satisfaction and productivity,1
Shocking government caught secretly adding birth control chemicals to public water supply,0
Doctors don't want you to know this miracle herb that cures all autoimmune diseases,0
New report shows global literacy rate has reached its highest point in recorded history,1
Shocking truth about coffee it contains a substance that makes people easier to control,0
Scientists discover new type of star that emits unusual light patterns in deep space,1
Medical team performs first successful surgery using new robotic assistance system,1
Researchers develop new sensor technology to detect structural weaknesses in bridges,1
Breaking news government deploys invisible surveillance satellites over every major city,0
Researchers develop portable water testing kit for use in remote areas worldwide,1
Hollywood celebrities are all clones controlled by shadow government insiders,0
Researchers find that soil health improvements increase crop yields by twenty percent,1
The pyramids are actually ancient power stations that once powered the entire world,0
They don't want you to know this simple cure that destroys big pharma,0
Doctors admit that chemotherapy kills more patients than cancer itself does,0
Shocking new study reveals that all restaurant food is secretly laced with addictive chemicals,0
New report shows that renewable energy jobs now outnumber fossil fuel jobs globally,1
Scientists prove that humans are genetically engineered by aliens millions of years ago,0
New study shows air quality improvements linked to lower rates of childhood asthma,1
New study shows that universal pre-kindergarten improves long-term educational outcomes,1
Researchers find that cities with strong public transit have lower income inequality,1
Scientists develop new cancer screening method that is faster and more accurate,1
Scientists find that spending time in nature reduces anxiety and depression symptoms,1
Scientists prove that the moon controls human emotions more than any other factor,0
Study finds that remote work increases productivity for most office workers globally,1
Government introduces universal basic income pilot program in three major cities,1
Major technology company caught installing spy software on all devices sold worldwide,0
Medical researchers make progress toward universal flu vaccine development efforts,1
Scientists develop new method to produce hydrogen fuel more efficiently and cheaply,1
Breaking shocking whistleblower exposes that all world currencies are completely worthless,0
Scientists develop new method to produce hydrogen fuel more efficiently and cheaply,1
Scientists confirm that Mediterranean diet reduces risk of heart disease by thirty percent,1
Stock markets close higher after positive employment data released Friday,1
Researchers develop new method to detect groundwater contamination faster and cheaply,1
Scientists observe that Antarctic ice sheet is losing mass at an increasing rate,1
Crisis actor caught on camera at multiple disaster sites proves staged events,0
Scientists observe that urban wildlife populations are adapting to city environments,1
Doctors confirm that all vitamins sold in stores are completely useless and toxic,0
Scientists confirm that Arctic ice is melting three times faster than global average,1
Chemist fired after discovering that hand sanitizer causes permanent brain damage,0
Ancient cure for diabetes suppressed by medical industry for over one hundred years,0
Microchips discovered in vaccines activated by 5G towers worldwide proven,0
City announces new bike sharing program to reduce vehicle traffic in downtown area,1
Doctors secretly paid to push dangerous drugs instead of natural healing remedies,0
Scientists confirm that public investment in infrastructure creates more jobs than tax cuts,1
Scientists complete mapping of ancient genome providing new historical insights,1
New miracle drug cures all forms of arthritis in three days big pharma hates this,0
Researchers find promising new drug compound that may slow progression of Alzheimers,1
Government announces new initiative to reduce food insecurity among school children,1
Scientists confirm that workplace flexibility policies reduce gender wage gap over time,1
Unbelievable proof that water memory exists and can store information like computer,0
Whistleblower reveals world governments have cure for aging kept secret for decades,0
Doctors recommend increasing vitamin D intake during winter months for health,1
Fluoride in drinking water proven to lower IQ and make population docile,0
Researchers develop new low-cost diagnostic tool for detecting infectious diseases,1
City announces new pedestrian safety improvements at high-risk intersections downtown,1
Annual report shows literacy rates have improved in developing countries globally,1
New medical device approved that helps patients with paralysis regain movement,1
Government plans to ban cash payments entirely and force microchip implants on citizens,0
Researchers find that regular stretching reduces chronic back pain in office workers,1
Top scientists say reading books causes brain damage in adults,0
Leaked government document reveals plan to reduce world population by fifty percent,0
Scientists confirm that recycling is a government scam and all waste goes to same place,0
Scientists confirm that the human brain can be remotely controlled using specific frequencies,0
Farmers adopt new irrigation technology to reduce water usage significantly,1
Scientists discover that human blood type determines your personality completely,0
Government expands broadband internet access to rural communities nationwide,1
Top cardiologist exposes shocking truth that heart disease is caused by government,0
Unbelievable breakthrough cure for HIV suppressed by pharmaceutical companies globally,0
Scientists discover that social media use causes permanent changes to human DNA structure,0
Shocking truth milk is actually poisonous to adults and causes bone weakness,0
Government releases updated dietary guidelines based on latest nutritional research,1
Local fire department introduces new drone technology for search and rescue operations,1
Secret society of bankers caught on tape planning to crash the global economy soon,0
New report shows that global malaria deaths have declined significantly since 2000,1
Researchers find that ocean temperatures are rising at an accelerating rate globally,1
Ancient cure for diabetes suppressed by medical industry for over one hundred years,0
Scientists develop new blood test that can detect cancer years before symptoms appear,1
Scientists discover that gut microbiome diversity is linked to better overall health,1
Researchers find evidence suggesting that early humans used medicinal plants regularly,1
Drinking lemon juice cures cancer according to secret ancient remedy,0
Secret underground tunnel network discovered connecting all major government buildings,0
New study proves that fluorescent lighting causes cancer and government covers it up,0
New law secretly passed that gives government access to every home camera nationwide,0
New study proves that sugar is not bad it was a lie created by big pharma companies,0
Government launches new digital identity program to improve access to public services,1
Scientists discover fossils of previously unknown dinosaur species in South America,1
Man survives for ten years eating only air and sunlight claims doctor,0
Scientists confirm that humans have a secret eighth sense that governments suppress,0
Scientists find that global fish populations are responding to conservation measures,1
Secret ingredient in fast food proven to cause addiction stronger than heroin,0
Secret underground cities built by elite preparing for engineered apocalypse,0
New legislation requires electric utilities to source thirty percent from renewables,1
New report shows global renewable energy capacity doubled in the past five years,1
Bombshell new study reveals that smartphones emit radiation that causes brain tumors,0
Researchers find that music therapy improves recovery outcomes for stroke patients,1
Government expands mental health coverage in national insurance program this year,1
Scientists say eating ice cream for breakfast actually improves brain function significantly,0
New pill replaces need for sleep doctors do not want you to know this,0
New research proves that WiFi signals are destroying human DNA slowly,0
Government announces new program to provide financial literacy education in high schools,1
Government admits it has been running secret experiments on citizens for over sixty years,0
